0,1,2,3,4,5,6,7
ATL,CAR,Sun,EARLY,12,CBS,0,1
ATL,CAR,Sun,EARLY,13,CBS,0,0
ATL,CAR,Sun,EARLY,14,CBS,0,1
ATL,CAR,Sun,EARLY,15,CBS,0,1
ATL,CAR,Sun,EARLY,16,CBS,0,1
ATL,CAR,Sun,EARLY,17,CBS,0,0
ATL,CAR,Sun,EARLY,2,CBS,0,1
ATL,CAR,Sun,EARLY,3,CBS,0,1
ATL,CAR,Sun,EARLY,4,CBS,0,1
ATL,CAR,Sun,EARLY,5,CBS,0,0
ATL,CAR,Sun,EARLY,6,CBS,0,1
ATL,CAR,Sun,EARLY,7,CBS,0,1
ATL,CAR,Sun,EARLY,8,CBS,0,1
ATL,CAR,Sun,EARLY,9,CBS,0,1
ATL,CAR,Sun,EARLY,1,FOX,0,1
ATL,CAR,Sun,EARLY,10,FOX,0,1
ATL,CAR,Sun,EARLY,11,FOX,0,1
ATL,CAR,Sun,EARLY,12,FOX,0,1
ATL,CAR,Sun,EARLY,13,FOX,0,0
ATL,CAR,Sun,EARLY,14,FOX,0,1
ATL,CAR,Sun,EARLY,15,FOX,0,1
ATL,CAR,Sun,EARLY,16,FOX,0,1
ATL,CAR,Sun,EARLY,17,FOX,0,0
ATL,CAR,Sun,EARLY,2,FOX,0,1
ATL,CAR,Sun,EARLY,3,FOX,0,1
ATL,CAR,Sun,EARLY,4,FOX,0,1
ATL,CAR,Sun,EARLY,5,FOX,0,0
ATL,CAR,Sun,EARLY,6,FOX,0,1
ATL,CAR,Sun,EARLY,7,FOX,0,1
ATL,CAR,Sun,EARLY,8,FOX,0,1
ATL,CAR,Sun,EARLY,9,FOX,0,1
ATL,CAR,Thu,PRIME,1,NFL,0,0
ATL,CAR,Thu,PRIME,10,NFL,0,0
ATL,CAR,Thu,PRIME,11,NFL,0,0
ATL,CAR,Thu,PRIME,12,NFL,0,0
ATL,CAR,Thu,PRIME,13,NFL,0,0
ATL,CAR,Thu,PRIME,14,NFL,0,0
ATL,CAR,Thu,PRIME,15,NFL,0,0
ATL,CAR,Thu,PRIME,16,NFL,0,0
ATL,CAR,Thu,PRIME,2,NFL,0,0
ATL,CAR,Thu,PRIME,3,NFL,0,0
ATL,CAR,Thu,PRIME,4,NFL,0,0
ATL,CAR,Thu,PRIME,5,NFL,0,0
ATL,CAR,Thu,PRIME,6,NFL,0,0
ATL,CAR,Thu,PRIME,7,NFL,0,0
ATL,CAR,Thu,PRIME,8,NFL,0,0
ATL,CAR,Thu,PRIME,9,NFL,0,0
ATL,CHI,Mon,PRIME,1,ESPN,0,0
ATL,CHI,Mon,PRIME,10,ESPN,0,1
ATL,CHI,Mon,PRIME,11,ESPN,0,1
ATL,CHI,Mon,PRIME,12,ESPN,0,1
ATL,CHI,Mon,PRIME,13,ESPN,0,1
ATL,CHI,Mon,PRIME,14,ESPN,0,1
ATL,CHI,Mon,PRIME,15,ESPN,0,1
ATL,CHI,Mon,PRIME,16,ESPN,0,0
ATL,CHI,Mon,PRIME,2,ESPN,0,0
ATL,CHI,Mon,PRIME,3,ESPN,0,0
ATL,CHI,Mon,PRIME,4,ESPN,0,0
ATL,CHI,Mon,PRIME,5,ESPN,0,1
ATL,CHI,Mon,PRIME,6,ESPN,0,1
ATL,CHI,Mon,PRIME,7,ESPN,0,1
ATL,CHI,Mon,PRIME,8,ESPN,0,1
ATL,CHI,Mon,PRIME,9,ESPN,0,1
ATL,CHI,Sun,EARLY,1,CBS,0,1
ATL,CHI,Sun,EARLY,10,CBS,0,1
ATL,CHI,Sun,EARLY,11,CBS,0,1
ATL,CHI,Sun,EARLY,12,CBS,0,1
ATL,CHI,Sun,EARLY,13,CBS,0,1
ATL,CHI,Sun,EARLY,14,CBS,0,1
ATL,CHI,Sun,EARLY,15,CBS,0,1
ATL,CHI,Sun,EARLY,16,CBS,0,1
ATL,CHI,Sun,EARLY,17,CBS,0,0
ATL,CHI,Sun,EARLY,2,CBS,0,1
ATL,CHI,Sun,EARLY,3,CBS,0,1
ATL,CHI,Sun,EARLY,4,CBS,0,1
ATL,CHI,Sun,EARLY,5,CBS,0,0
ATL,CHI,Sun,EARLY,6,CBS,0,1
ATL,CHI,Sun,EARLY,7,CBS,0,1
ATL,CHI,Sun,EARLY,8,CBS,0,1
ATL,CHI,Sun,EARLY,9,CBS,0,1
ATL,CHI,Sun,EARLY,1,FOX,0,1
ATL,CHI,Sun,EARLY,10,FOX,0,1
ATL,CHI,Sun,EARLY,11,FOX,0,1
ATL,CHI,Sun,EARLY,12,FOX,0,1
ATL,CHI,Sun,EARLY,13,FOX,0,1
ATL,CHI,Sun,EARLY,14,FOX,0,1
ATL,CHI,Sun,EARLY,15,FOX,0,1
ATL,CHI,Sun,EARLY,16,FOX,0,1
ATL,CHI,Sun,EARLY,17,FOX,0,1
ATL,CHI,Sun,EARLY,2,FOX,0,1
ATL,CHI,Sun,EARLY,3,FOX,0,1
ATL,CHI,Sun,EARLY,4,FOX,0,1
ATL,CHI,Sun,EARLY,5,FOX,0,0
ATL,CHI,Sun,EARLY,6,FOX,0,1
ATL,CHI,Sun,EARLY,7,FOX,0,1
ATL,CHI,Sun,EARLY,8,FOX,0,1
ATL,CHI,Sun,EARLY,9,FOX,0,1
ATL,DET,Mon,PRIME,1,ESPN,0,0
ATL,DET,Mon,PRIME,10,ESPN,0,0
ATL,DET,Mon,PRIME,11,ESPN,0,0
ATL,DET,Mon,PRIME,12,ESPN,0,0
ATL,DET,Mon,PRIME,13,ESPN,0,1
ATL,DET,Mon,PRIME,14,ESPN,0,1
ATL,DET,Mon,PRIME,15,ESPN,0,1
ATL,DET,Mon,PRIME,16,ESPN,0,0
ATL,DET,Mon,PRIME,2,ESPN,0,0
ATL,DET,Mon,PRIME,3,ESPN,0,1
ATL,DET,Mon,PRIME,4,ESPN,0,1
ATL,DET,Mon,PRIME,5,ESPN,0,1
ATL,DET,Mon,PRIME,6,ESPN,0,1
ATL,DET,Mon,PRIME,7,ESPN,0,1
ATL,DET,Mon,PRIME,8,ESPN,0,1
ATL,DET,Mon,PRIME,9,ESPN,0,1
ATL,DET,Sun,EARLY,1,CBS,0,1
ATL,DET,Sun,EARLY,10,CBS,0,1
ATL,DET,Sun,EARLY,11,CBS,0,1
ATL,DET,Sun,EARLY,12,CBS,0,1
ATL,DET,Sun,EARLY,13,CBS,0,1
ATL,DET,Sun,EARLY,14,CBS,0,1
ATL,DET,Sun,EARLY,15,CBS,0,1
ATL,DET,Sun,EARLY,16,CBS,0,1
ATL,DET,Sun,EARLY,17,CBS,0,0
ATL,DET,Sun,EARLY,2,CBS,0,1
ATL,DET,Sun,EARLY,3,CBS,0,1
ATL,DET,Sun,EARLY,4,CBS,0,1
ATL,DET,Sun,EARLY,5,CBS,0,1
ATL,DET,Sun,EARLY,6,CBS,0,1
ATL,DET,Sun,EARLY,7,CBS,0,1
ATL,DET,Sun,EARLY,8,CBS,0,1
ATL,DET,Sun,EARLY,9,CBS,0,1
ATL,DET,Sun,EARLY,1,FOX,0,1
ATL,DET,Sun,EARLY,10,FOX,0,1
ATL,DET,Sun,EARLY,11,FOX,0,1
ATL,DET,Sun,EARLY,12,FOX,0,1
ATL,DET,Sun,EARLY,13,FOX,0,1
ATL,DET,Sun,EARLY,14,FOX,0,1
ATL,DET,Sun,EARLY,15,FOX,0,1
ATL,DET,Sun,EARLY,16,FOX,0,1
